Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
Sweatshirt-blue,1719,1871,1m29.765205091s,0.60631,50,23,0.0033,7,4541,62.765205091
t-shirt-pink,69,80,2m22.9s,0.63749,3,5,0.04761,4,207,122.9
jeans-navy,22,26,14.346153846s,0.76923,0,0,0.0,0,37,840.346153846
t-shirt-green,4,5,1m25.333333333s,0.66666,0,0,0.0,0,14,62.333333333
polo-mustard,5,5,2m6.8s,0.6,0,0,0.0,0,13,120.8
Trouser-purple,252,294,2m39.6292517s,0.5136,14,9,0.017,5,1250,123.6292517
polo-petrol,251,300,1m38.026666666s,0.65666,7,7,0.00666,2,769,63.026666666
t-shirt-white,1719,1871,37.77525s,0.7245,50,7,0.0,0,4541,2220.77525
polo-black,4,5,23s,0.4375,0,0,0.0,0,10,60.294545454
t-shirt-red,1719,1871,30.418350848s,0.76273,40,11,0.00161,4,4541,1800.418350848
Trouser-blue,54,66,2m7.409090909s,0.68181,0,1,0.01515,1,197,120.409090909
t-shirt-prune,13,16,32.9375s,0.75,0,0,0.0,0,24,1920.9375
t-shirt-black,101,107,2m15.68224299s,0.6542,3,4,0.01869,2,393,121.68224299
t-shirt-blue,17,17,1m8.588235294s,0.82352,0,1,0.0,0,24,60.588235294
Jacket-black,135,145,1m22.110344827s,0.55172,1,1,0.0,0,458,62.110344827
t-shirt-green,14,14,29.142857142s,0.57142,1,0,0.0,0,36,1740.142857142
Trouser-olive,756,777,51.117117117s,0.68339,40,3,0.00257,2,1406,2940.6
Trouser-olive,301,348,2m46.192528735s,0.52873,6,16,0.00862,3,1217,124.192528735
polo-purple,296,330,37.463636363s,0.8,2,0,0.0,0,529,2220.463636363
Trouser-black,45,83,41.891566265s,0.75903,2,0,0.0,0,180,2460.891566265
t-shirt-maroon,138,155,1m48.296774193s,0.61935,6,3,0.0,0,434,64.296774193
jeans-navy,102,106,1m22.490566037s,0.60377,3,2,0.00943,1,284,62.490566037
jeans-black,202,223,1m8.739910313s,0.69955,5,4,0.00896,2,485,60.739910313
Jacket-olive,115,145,1m48.131034482s,0.57241,3,2,0.01379,2,537,64.131034482
polo-maroon,231,266,3m3.315789473s,0.43984,11,15,0.01127,3,1181,180.315789473
Sweatshirt-navy,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-beige,41,46,2m12.347826086s,0.71739,1,2,0.0,0,167,121.347826086
